"region","drivmedel","månad","Antal"
"Riket","diesel","2017M09",15340
"Riket","diesel","2017M10",15122
"Riket","diesel","2017M11",14226
"Riket","diesel","2017M12",15848
"Riket","diesel","2018M01",9788
"Riket","diesel","2018M02",12143
"Riket","diesel","2018M03",15538
"Riket","diesel","2018M04",13802
"Riket","diesel","2018M05",14988
"Riket","diesel","2018M06",29301
"Riket","diesel","2018M07",3155
"Riket","diesel","2018M08",7737
"Riket","diesel","2018M09",6082
"Riket","diesel","2018M10",7753
"Riket","diesel","2018M11",8945
"Riket","diesel","2018M12",8177
"Riket","diesel","2019M01",8113
"Riket","diesel","2019M02",8827
"Riket","diesel","2019M03",10770
"Riket","diesel","2019M04",11981
"Riket","diesel","2019M05",11673
"Riket","diesel","2019M06",10708
"Riket","diesel","2019M07",7353
"Riket","diesel","2019M08",8788
"Riket","diesel","2019M09",7288
"Riket","diesel","2019M10",9039
"Riket","diesel","2019M11",8969
"Riket","diesel","2019M12",14266
"Riket","diesel","2020M01",4088
"Riket","diesel","2020M02",6084
"Riket","diesel","2020M03",7284
"Riket","diesel","2020M04",5223
"Riket","diesel","2020M05",4445
"Riket","diesel","2020M06",7082
"Riket","diesel","2020M07",5685
"Riket","diesel","2020M08",5558
"Riket","diesel","2020M09",5716
"Riket","diesel","2020M10",5356
"Riket","diesel","2020M11",4974
"Riket","diesel","2020M12",6578
"Riket","diesel","2021M01",4947
"Riket","diesel","2021M02",4961
"Riket","diesel","2021M03",10875
"Riket","diesel","2021M04",3729
"Riket","diesel","2021M05",4561
"Riket","diesel","2021M06",6173
"Riket","diesel","2021M07",3122
"Riket","diesel","2021M08",3059
"Riket","diesel","2021M09",3016
"Riket","diesel","2021M10",2790
"Riket","diesel","2021M11",3089
"Riket","diesel","2021M12",3412
"Riket","diesel","2022M01",2809
"Riket","diesel","2022M02",3135
"Riket","diesel","2022M03",3913
"Riket","diesel","2022M04",3492
"Riket","diesel","2022M05",4369
"Riket","diesel","2022M06",3998
"Riket","diesel","2022M07",2249
"Riket","diesel","2022M08",2578
"Riket","diesel","2022M09",2698
"Riket","diesel","2022M10",2471
"Riket","diesel","2022M11",2530
"Riket","diesel","2022M12",2546
"Riket","diesel","2023M01",1863
"Riket","diesel","2023M02",2217
"Riket","diesel","2023M03",2549
"Riket","diesel","2023M04",2347
"Riket","diesel","2023M05",2641
"Riket","diesel","2023M06",2524
"Riket","diesel","2023M07",1684
"Riket","diesel","2023M08",2024
"Riket","diesel","2023M09",2393
"Riket","diesel","2023M10",2094
"Riket","diesel","2023M11",1960
"Riket","diesel","2023M12",2202
"Riket","diesel","2024M01",1890
"Riket","diesel","2024M02",1761
"Riket","diesel","2024M03",1902
"Riket","diesel","2024M04",1819
"Riket","diesel","2024M05",2252
"Riket","diesel","2024M06",2141
"Riket","diesel","2024M07",1690
"Riket","diesel","2024M08",1855
"Riket","diesel","2024M09",1521
"Riket","diesel","2024M10",1745
"Riket","diesel","2024M11",1677
"Riket","diesel","2024M12",1905
"Riket","diesel","2025M01",1378
